ID,Tipo_escuela,ESCUELA,GRADO,Grupo,Anios,Total_meses,Sexo,Calificacion,ConteoT,Target,NumEntrenamientos,ConteoCorrecto11-14,Conteocorrecto_Target11-14,NumEntrenamientos2,ConteoCorrecto12-13,Conteocorrecto_Target12-13,Nivel _actividad,Sonrisa_Risa,Placer_alta_intensidad,Impulsividad,Aprox,Timidez,Miedo,Malestar,Tristeza,Frustracion,Autotranquilizacion,control_Inhibitorio,Placer_baja_intensidad,Sensibilidad perceptual,Atencion_foc,Shifting,conjunto_atencion,CE_condistractibilidad,AfectoNegativo,ExtraversionSurgency,CE_sindistractibilidad,Alerta,Orientacion,Conflicto,Errores_totales,ANT_porcentaje_errores_total,ANT_errores_omision,ANT_porcentaje_errores_omision,ANT_errores_comision,ANT_porcentaje_errores_comision,ANT_porcentajecorrecto,ANT_porcentaje_correctas_62.56,ANT_porcentaje_correctas_62.564_filtered,Alerta_62.56,Orientacion_62.56,Conflicto_62.56,Central_Cue_rt,Spatial_Cue_rt,Central_Cue_filtered,Spatial_Cue_filtered,ANT_Filtrado,Alerta_filtrado2,Orientacion_filtrado3,Conflicto_filtrado4,Perfiles,Perfiles_sindistac,CE_AltosBajos,AN_AltosBajos,Surgency_AltosBajos,CE_sindistrac_AltosBajos,CE_super_AltosBajos,AN_super_AltosBajos,Sugency_super_AltosBajos,CE_sindistrac_super_AltosBajos,Alerta_AltosBajos,Orientacion_AltosBajos,Conflicto_AltosBajos
1,0,1,1,1,7,90,1,6.1,11,1,3,1,1,1,0,0,3.923076923,4.230769231,4.692307692,4.076923077,4.461538462,3.916666667,4.4,3.4,4.5,4.461538462,4.153846154,3.333333333,4,4.090909091,4.444444444,4.4,4.428571429,4.053737374,4.183076923,4.216880342,3.967171717,26.5,-30.5,29.5,38,24.30555556,12,8.163265306,26,17.68707483,75.69444444,1,75.69444444,26.5,-30.5,29.5,756.5517241,838.2916667,756.5517241,838.2916667,75.69444444,26.5,-30.5,29.5,0,0,0,0,0,0,0,#N/A,0,0,0,0,0
2,0,1,1,1,6,81,0,7.1,,,3,NA,NA,NA,NA,NA,5,5.416666667,5.833333333,4.916666667,5.583333333,1.916666667,2.916666667,2.909090909,3.916666667,4.230769231,5,5.416666667,6.083333333,6.090909091,4.666666667,4.5,4.615384615,5.351515152,3.794638695,4.777777778,5.564393939,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,1,1,1,0,#N/A,1,NA,NA,NA
3,0,1,1,1,6,79,0,9.3,10,1,3,0,0,2,0,0,4.076923077,4.230769231,4.461538462,4.769230769,5.384615385,4.076923077,5,4.666666667,5,4.692307692,4.769230769,4,4.461538462,5,4.333333333,4.2,4.285714286,4.398974359,4.825641026,4.5,4.448717949,-289,39,39,122,82.63888889,17,11.56462585,105,71.42857143,17.36111111,0,,,,,919,1005.777778,,,,,,,1,1,0,1,0,0,0,1,#N/A,0,0,0,0
4,0,1,1,1,6,79,0,8.7,,,3,NA,NA,NA,NA,NA,4.769230769,4.769230769,3.846153846,4.230769231,5.583333333,3.769230769,3.666666667,3.454545455,4.181818182,4.923076923,5.230769231,4.230769231,5.153846154,4.5,3.555555556,4.25,3.769230769,4.338034188,4.291375291,4.49465812,4.360042735,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,#N/A,#N/A,0,NA,NA,NA
5,0,1,1,1,6,79,0,9.3,13,1,3,1,1,1,1,1,5.461538462,5.846153846,5.692307692,5.230769231,6.153846154,2.538461538,4.166666667,3.666666667,4,4.692307692,4.846153846,3.769230769,5.307692308,5,4,4.2,4.071428571,4.455384615,4.274358974,5.153846154,4.519230769,102,-49.5,-11,33,20.83333333,6,4.081632653,27,18.36734694,79.16666667,1,79.16666667,102,-49.5,-11,821.3103448,743.5,821.3103448,743.5,79.16666667,102,-49.5,-11,0,0,0,0,1,0,#N/A,#N/A,1,0,1,0,0
6,0,1,1,1,6,75,1,6.7,12,0,3,1,0,1,1,0,4.583333333,4.181818182,5,4.090909091,5.083333333,3.666666667,2.888888889,4.111111111,4.454545455,4.6,3.538461538,4.416666667,4.8,4,3.222222222,4.4,3.642857143,4.167777778,3.918601399,4.434343434,4.109722222,186,29,97,26,15.97222222,19,12.92517007,7,4.761904762,84.02777778,1,84.02777778,186,29,97,1011.16129,1015.636364,1011.16129,1015.636364,84.02777778,186,29,97,0,0,0,0,0,0,0,0,#N/A,0,1,0,1
7,0,1,1,1,6,81,1,7.7,,,3,NA,NA,NA,NA,NA,4.076923077,4.461538462,3.923076923,4.307692308,5.076923077,2.384615385,3.666666667,4,3.833333333,3.615384615,4.5,4.769230769,5.153846154,5.083333333,4,4.4,4.142857143,4.681282051,3.923076923,4.038461538,4.751602564,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,#N/A,0,0,#N/A,NA,NA,NA
8,0,1,1,1,6,77,1,6.6,8,1,3,0,0,1,0,0,5.153846154,4.692307692,4.769230769,4.846153846,5,3.384615385,4.583333333,4.583333333,4.666666667,4.461538462,4.461538462,4.307692308,5.230769231,4.5,4,3.4,3.785714286,4.287692308,4.551282051,4.641025641,4.509615385,67,52.5,19,46,29.86111111,31,21.08843537,15,10.20408163,70.13888889,1,70.13888889,67,52.5,19,1163.826087,1077,1163.826087,1077,70.13888889,67,52.5,19,1,1,0,1,1,0,0,1,#N/A,0,1,1,0
9,0,1,1,1,6,81,0,7.8,,,3,NA,NA,NA,NA,NA,2.923076923,4,4,3.615384615,4.153846154,4.076923077,3.083333333,4.083333333,3.5,3.384615385,3.333333333,3.769230769,4.307692308,3.583333333,3.888888889,4.2,4,3.94982906,3.476923077,3.794871795,3.887286325,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
10,0,1,1,1,6,77,1,7,,,3,NA,NA,NA,NA,NA,5.538461538,5.384615385,5.769230769,5.846153846,5.769230769,2.615384615,3.833333333,3.5,3.909090909,5.461538462,3.846153846,3.461538462,5.538461538,5.5,2.777777778,2.8,2.785714286,4.015555556,4.11002331,5.153846154,4.319444444,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,0,NA,NA,NA
11,0,1,1,1,6,77,1,8.4,12,1,3,1,1,1,1,1,4.076923077,6,3.307692308,3.923076923,5.461538462,3.538461538,3.583333333,3.166666667,4,4.076923077,5.153846154,5.615384615,5.692307692,5.5,4.777777778,4,4.5,5.117094017,3.996153846,4.384615385,5.396367521,123,154,155,28,17.36111111,3,2.040816327,25,17.00680272,82.63888889,1,82.63888889,123,154,155,1043.689655,893.3,1043.689655,893.3,82.63888889,123,154,155,2,2,1,0,0,1,1,0,0,1,1,1,1
12,0,1,1,1,6,82,0,9.7,12,1,3,1,1,2,1,1,4.923076923,6.153846154,5.538461538,4.615384615,6,3.666666667,3.916666667,3.75,4.5,4.153846154,5.153846154,4.538461538,5.923076923,5.75,4.111111111,3.4,3.857142857,4.744529915,4.294871795,5.14957265,5.080662393,83.5,172,36.5,10,4.861111111,5,3.401360544,5,3.401360544,95.13888889,1,95.13888889,83.5,172,36.5,1069.085714,924.8857143,1069.085714,924.8857143,95.13888889,83.5,172,36.5,2,2,1,0,1,1,#N/A,#N/A,1,1,1,1,0
13,0,1,1,1,6,79,0,9.7,7,0,3,0,0,3,0,0,4.692307692,4.923076923,5.461538462,4.615384615,5.153846154,3.384615385,4.25,4.666666667,4.666666667,4.230769231,4.384615385,3.923076923,5.153846154,4.916666667,3.888888889,4,3.928571429,4.376495726,4.43974359,4.705128205,4.470619658,97,70,62,15,8.333333333,9,6.12244898,6,4.081632653,91.66666667,1,91.66666667,97,70,62,925.2727273,838.8484848,925.2727273,838.8484848,91.66666667,97,70,62,1,1,0,1,1,0,0,#N/A,#N/A,0,1,1,0
14,0,1,1,1,6,80,1,7.8,11,1,3,1,1,3,0,0,4.153846154,4.083333333,4.615384615,4.538461538,4.769230769,3.615384615,3.666666667,4,4.916666667,4.076923077,4.153846154,4.153846154,4.692307692,4.083333333,4.333333333,4,4.214285714,4.252564103,4.162820513,4.295940171,4.315705128,130.5,113,402.5,66,43.75,45,30.6122449,21,14.28571429,56.25,0,,,,,1000.444444,918.25,,,,,,,0,0,0,0,0,0,0,#N/A,0,0,1,1,1
15,0,1,1,1,,,0,9.1,12,0,3,1,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0,1,1,1,6,76,0,6.6,14,1,3,1,1,2,0,0,5.5,5.692307692,4.692307692,4.090909091,5.384615385,3.461538462,4.4,3.5,3.909090909,2.909090909,4.666666667,4.25,5.769230769,5.636363636,3.666666667,4,3.769230769,4.664452214,3.876969697,4.803613054,4.830565268,616,68,399,113,76.38888889,17,11.56462585,96,65.30612245,23.61111111,0,,,,,883.1111111,770.6666667,,,,,,,0,2,0,0,1,1,#N/A,0,1,#N/A,1,1,1
17,0,1,1,1,6,72,0,8.8,,,3,NA,NA,NA,NA,NA,4.615384615,4.615384615,4.307692308,3,5.692307692,3.692307692,4.333333333,4.166666667,5.75,3.307692308,4.076923077,4.769230769,4.846153846,4.333333333,4.222222222,3.4,3.928571429,4.314188034,4.326923077,4.320512821,4.542735043,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,#N/A,0,0,NA,NA,NA
18,0,1,1,1,6,75,1,8.7,12,1,3,1,1,2,1,1,5.846153846,5.076923077,4.615384615,5.307692308,6.076923077,2.153846154,4.454545455,4.916666667,3.833333333,3.153846154,5.384615385,4.615384615,5,5.083333333,3.777777778,3.2,3.571428571,4.335299145,4.348601399,4.846153846,4.619123932,46,36.5,130.5,28,17.36111111,4,2.721088435,24,16.32653061,82.63888889,1,82.63888889,46,36.5,130.5,769.0384615,755.46875,769.0384615,755.46875,82.63888889,46,36.5,130.5,1,1,0,1,1,0,0,#N/A,1,#N/A,0,0,1
19,0,1,1,1,6,80,0,9.2,12,0,3,1,0,2,1,0,4.769230769,5.461538462,4.692307692,4.384615385,6.153846154,4.615384615,4.272727273,4.583333333,5.166666667,5.076923077,4.25,4.538461538,4.615384615,5.818181818,4.444444444,3.4,4.071428571,4.563294483,4.66993007,5.012820513,4.854118104,190.5,102,223.5,60,39.58333333,6,4.081632653,54,36.73469388,60.41666667,0,,,,,969.9565217,869.2857143,,,,,,,1,3,0,1,1,1,#N/A,1,1,#N/A,1,1,1
20,0,1,1,1,,,1,9.4,12,0,3,1,0,1,1,0,4.692307692,4.428571429,4.727272727,4.222222222,6.181818182,2,4.454545455,3.909090909,3.7,3.384615385,6.166666667,5.285714286,6.1,5.4,4.777777778,5.8,5.142857143,5.472698413,4.322983683,4.375365375,5.390873016,55,58,-11,9,4.166666667,2,1.360544218,7,4.761904762,95.83333333,1,95.83333333,55,58,-11,885.8787879,802.7222222,885.8787879,802.7222222,95.83333333,55,58,-11,3,3,1,1,0,1,1,#N/A,0,1,0,1,0
21,0,1,1,1,6,75,0,7.4,12,1,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,235,48.5,225.5,24,14.58333333,14,9.523809524,10,6.802721088,85.41666667,1,85.41666667,235,48.5,225.5,1012,964.0645161,1012,964.0645161,85.41666667,235,48.5,225.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
22,0,1,1,1,6,80,0,8.1,13,0,3,1,0,1,1,0,4.923076923,5.384615385,4.923076923,3.923076923,5.846153846,3.230769231,5.166666667,4.5,4.583333333,4.384615385,5.25,4.846153846,5.692307692,5.5,3.777777778,3.6,3.714285714,4.683247863,4.776923077,4.705128205,4.954059829,-24,-89,-25,78,52.08333333,75,51.02040816,3,2.040816327,47.91666667,0,,,,,1452.588235,1463,,,,,,,1,3,0,1,1,1,#N/A,1,#N/A,#N/A,0,0,0
23,0,1,1,1,7,86,1,8.5,,,3,NA,NA,NA,NA,NA,4.384615385,5.307692308,5.5,5.230769231,4.307692308,3.153846154,3.833333333,4.333333333,5.583333333,4.384615385,4.923076923,5.538461538,4.307692308,5.25,5.777777778,4.8,5.428571429,5.134786325,4.611538462,4.647435897,5.218482906,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,1,1,1,1,1,#N/A,1,NA,NA,NA
24,0,1,1,1,7,85,0,10,12,1,3,1,1,1,1,1,5.272727273,5.461538462,3.923076923,4.307692308,5.307692308,2.692307692,4.333333333,3.166666667,3.583333333,3.076923077,4.692307692,5.538461538,5.230769231,5.333333333,5.333333333,4.6,5.071428571,5.207179487,3.770512821,4.494172494,5.358974359,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0,1,1,0,#N/A,1,NA,NA,NA
25,0,1,1,1,,,0,8.5,12,0,3,1,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0,1,1,1,6,78,1,9.1,13,0,3,1,0,2,1,0,4.846153846,5.076923077,4.846153846,4.923076923,4.769230769,3.307692308,3.75,4,4.583333333,3.769230769,4.230769231,4.076923077,4.846153846,4.416666667,5,4,4.642857143,4.467948718,4.066666667,4.628205128,4.584935897,266.5,9,303,25,15.27777778,9,6.12244898,16,10.88435374,84.72222222,1,84.72222222,266.5,9,303,798.6,824.5666667,798.6,824.5666667,84.72222222,266.5,9,303,0,0,0,0,1,0,#N/A,0,#N/A,#N/A,1,0,1
27,0,1,1,1,6,80,0,9.8,12,1,3,1,1,2,1,1,4.153846154,4.384615385,4.461538462,2.846153846,5.692307692,5.384615385,5.666666667,4.583333333,3.916666667,3.769230769,4.923076923,5.153846154,4.923076923,5.333333333,4,4.6,4.214285714,4.802051282,4.571794872,4.487179487,4.852564103,117.5,100.5,-91.5,74,49.30555556,17,11.56462585,57,38.7755102,50.69444444,0,,,,,1019.285714,978.2857143,,,,,,,3,3,1,1,0,1,#N/A,1,#N/A,#N/A,1,1,0
28,0,1,1,1,6,76,1,9.3,12,0,3,1,0,3,1,0,4.230769231,4.538461538,4.692307692,3.846153846,5.230769231,4.461538462,4.5,3.916666667,4,3.384615385,5.076923077,5.461538462,5.538461538,4.416666667,5,4.8,4.928571429,5.043333333,4.175641026,4.5,5.104166667,4,32.5,68,43,27.77777778,20,13.60544218,23,15.6462585,72.22222222,1,72.22222222,4,32.5,68,1039.285714,979.625,1039.285714,979.625,72.22222222,4,32.5,68,2,2,1,0,0,1,1,#N/A,#N/A,1,0,0,0
29,0,1,1,1,6,80,1,8,12,0,3,1,0,1,1,0,3.153846154,5.333333333,5.692307692,5,5.538461538,1.769230769,4.416666667,4.416666667,3.75,4.230769231,4.923076923,5.076923077,5.307692308,5.5,4.333333333,3.8,4.142857143,4.803589744,4.347435897,4.414529915,5.054487179,145,2.5,132,22,13.19444444,1,0.680272109,21,14.28571429,86.80555556,1,86.80555556,145,2.5,132,749.84375,767.9354839,749.84375,767.9354839,86.80555556,145,2.5,132,3,3,1,1,0,1,#N/A,#N/A,0,1,1,0,1
30,0,1,1,1,,,0,9.6,12,1,3,1,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
